"ISBN";"Book-Title";"Book-Author";"Year-Of-Publication";"Publisher"
"0571069134";"Dark Labyrinth";"Lawrence Durrell";"0";"Faber Faber Inc"
"0811816583";"New York Dogs";"Andrea Mohin";"1997";"Chronicle Books Llc"
"1588512681";"Demonlands";"Anthony M. Fauglid";"2001";"Publishamerica"
"1573228745";"Innocence";"Jane Mendelsohn";"2001";"Riverhead Books"
"0446528757";"Joy";"Victoria Christopher Murray";"2001";"Walk Worthy Press"
"0451191145";"Atlas Shrugged";"Ayn Rand";"1996";"Signet Book"
"0136714897";"Quotations from Women on Life";"Rosalie Maggio";"1997";"Prentice Hall Art"
"0689823517";"The Dance";"Richard Paul Evans";"1999";"Simon & Schuster Children's Publishing"
"0875093663";"Pursuit of God";"Aiden W. Tozer";"1982";"Christian Publications"
"0671510126";"The Good Earth (Enriched Classics)";"Pearl S. Buck";"1994";"Pocket"
"0440403278";"Number the Stars (Yearling Newbery)";"Lois Lowry";"1990";"Yearling Books"
"0803722907";"A Long Way from Chicago: A Novel in Stories (Newbery Honor Book, 1999)";"Richard Peck";"1998";"Dial Books"
"0060987561";"I Know This Much Is True";"Wally Lamb";"1999";"Regan Books"
"0842314296";"Hinds' Feet on High Places";"Hannah Hurnard";"1997";"Living Books"
"1880089858";"Woman, Thou Art Loosed: Healing the Wounds of the Past";"T. D. Jakes";"1994";"Bethany House Publishers"
"0312265867";"To the Nines: A Stephanie Plum Novel";"Janet Evanovich";"2003";"St. Martin's Press"
"055328424X";"Talent";"Howard Kaminsky";"1990";"Bantam Books"
"0373250290";"Carrie Pilby (Red Dress Ink (Paperback))";"Caren Lissner";"2003";"Red Dress Ink"
"1844262553";"Free";"Paul Vincent";"2003";"Upfront Publishing"
"3442411580";"Die L√?¬∂win von Aquitanien. Roman.";"Tanja Kinkel";"1991";"Goldmann"
"3548600867";"Die Totenw√?¬§scherin.";"Helga Hegewisch";"2001";"Ullstein TB-Vlg"
"3596124166";"Flush. Eine Biographie.";"Virginia Woolf";"1994";"Fischer (Tb.), Frankfurt"
"3257227809";"Venezianisches Finale. Commissario Brunettis erster Fall.";"Donna Leon";"1995";"Diogenes Verlag"
"344244392X";"Das Tagebuch Der Bridget Jones";"Helen Fielding";"2000";"Wilhelm Goldmann Verlag, GmbH"
"3546001575";"Der Geschichtenmacher.";"Kjell Johansson";"1999";"Claassen Verlag"
"0525945172";"The Experiment";"John Darnton";"1999";"Penguin USA"
"3462029916";"Wie Ich Einmal Die Welt Rettete (Beck-Texte Im Dtv)";"Ahne";"2001";"Kiepenheuer & Witsch GmbH & Co. KG, Verlag"
"3423203668";"Die f√?¬ºnfte Frau.";"Henning Mankell";"2000";"Dtv"
"3423204206";"Die falsche F√?¬§hrte.";"Henning Mankell";"2001";"Dtv"
"0152008772";"Hang a Thousand Trees with Ribbons: The Story of Phillis Wheatley";"Ann Rinaldi";"1996";"Gulliver Books Paperbacks"
"0312150601";"Behind the Scenes at the Museum : A Novel";"Kate Atkinson";"1999";"Picador"
"0671899619";"Fast Forward";"Judy Mercer";"1997";"Pocket"
"0061099694";"Hill Towns";"Anne Rivers Siddons";"1994";"HarperTorch"
"0446603309";"The Witness";"Sandra Brown";"1996";"Warner Books"
"0345302745";"Speaker of Mandarin";"Ruth Rendell";"1990";"Fawcett Books"
"0671881957";"KISS AND TELL (NANCY DREW FILES 104) : KISS AND TELL";"Carolyn Keene";"1995";"Simon Pulse"
"0786881852";"Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series)";"Richard Carlson";"1997";"Hyperion"
"0310240972";"Ten Secrets for the Man in the Mirror";"Patrick Morley";"2000";"Zondervan Publishing House"
"0440170370";"Player Piano";"Kurt Vonnegut";"1997";"Dell Publishing Company"
"034524575X";"Something Happened";"Joseph Heller";"1975";"Ballantine Books"
"0345413873";"Monster : A Novel (Alex Delaware Novels (Paperback))";"JONATHAN KELLERMAN";"2000";"Ballantine Books"
"0380726262";"Moon Music (Peter Decker & Rina Lazarus Novels (Paperback))";"Faye Kellerman";"1999";"Avon"
"0671881965";"STOLEN AFFECTIONS (NANCY DREW FILES 105) : STOLEN AFFECTIONS";"Carolyn Keene";"1995";"Simon Pulse"
"0671881981";"ANYTHING FOR LOVE (NANCY DREW FILES 107) : ANYTHING FOR LOVE (Nancy Drew Files (Paperback))";"Carolyn Keene";"1995";"Simon Pulse"
"0671881930";"COUNTERFEIT CHRISTMAS (NANCY DREW FILES 102) : COUNTERFEIT CHRISTMAS (Nancy Drew Files (Paperback))";"Carolyn Keene";"1994";"Simon Pulse"
"0671881949";"HEART OF ICE (NANCY DREW FILES 103) : HEART OF ICE (Nancy Drew Files (Paperback))";"Carolyn Keene";"1995";"Simon Pulse"
"0590419293";"Prom Dress";"Lael Littke";"1989";"Scholastic Paperbacks"
"0671896768";"Crossover (Star Trek: The Next Generation)";"Michael Jan Friedman";"1996";"Star Trek"
"0064410129";"The Carnivorous Carnival (A Series of Unfortunate Events, Book 9)";"Lemony Snicket";"2002";"HarperCollins"
"0553267736";"American Revolutionary (Time Machine No 10)";"Arthur Byron Cover";"1987";"Starfire"
"055325636X";"Terror on Kabran (Escape from Tenopia, No 3)";"Richard Brightfield";"1986";"Bantam Books"
"0553254723";"Tenopia Island (Escape from Tenopia, No 1)";"Edward Packard";"1986";"Bantam Books"
"0553801309";"A Place of Hiding";"ELIZABETH GEORGE";"2003";"Bantam"
"0445210214";"Mythology 101 (Questar Fantasy)";"Jody Lynn Nye";"1993";"Warner Books"
"0375719350";"The Man Who Japed";"Philip K. Dick";"2002";"Vintage Books USA"
"0345334302";"Ringworld Engineers";"Larry Niven";"1990";"Del Rey Books"
"0380773945";"Magicnet";"John Dechancie";"1994";"Harper Mass Market Paperbacks (Mm)"
"0345373413";"The Quicksilver Screen";"Don H. Debrandt";"1992";"Del Rey Books"
"0345348176";"From Doon With Death";"Ruth Rendell";"1990";"Fawcett Books"
"0679802614";"Magic Elizabeth";"Norma Kassirer";"1990";"Random House Childrens Books"
"0590428098";"Yours Truly, Shirley";"Ann M. Martin";"1990";"Scholastic Paperbacks (Mm)"
"0671702920";"ROSY'S ROMANCE";"Sheila Greenwald";"1990";"Aladdin"
"0380757893";"Witch House";"Norma Tadlock Johnson";"1990";"Harpercollins Juvenile Books"
"0440400759";"Just As Long As We're Together";"Judy Blume";"1988";"Yearling Books"
"0590414976";"Junior High Jitters (Junior High, No 1)";"M.L. Kenyon";"1987";"Scholastic Paperbacks (Mm)"
"0684874318";"Flesh And Blood";"Michael Cunningham";"1996";"Touchstone"
"037570387X";"The Autograph Man: A Novel (Vintage International (Paperback))";"Zadie Smith";"2003";"Vintage Books USA"
"0451452925";"Sisters in Fantasy";"Susan Shwartz";"1995";"Roc"
"1559029838";"Call of the Wild";"Jack London";"0";"Selldowns/no More Orders"
"0590414658";"Just a Little Bit Lost";"Laurel Trivelpiece";"1988";"Scholastic Paperbacks"
"0671674919";"The SUSPECT NEXT DOOR NANCY DREW FILES #39 (The Nancy Drew Files Case, No 39)";"Carolyn Keene";"1989";"Simon Pulse"
"0441048862";"Barbary";"Vonda N. McIntyre";"1993";"Ace Books"
"0553271547";"SEARCH FOR DINOSAURS (Time Machine, No 2)";"DAVID BISCHOFF";"1984";"Starfire"
"0553272004";"Civil War Secret Agent (Time Machine, No 5)";"Steve Perry";"1985";"Starfire"
"0451450787";"Shadowrun: Never Deal With a Dragon (Secrets of Power, No 1)";"Robert N. Charrette";"1990";"Roc"
"0451450876";"Shadowrun: Choose Your Enemies Carefully (Shadowrun (Roc))";"Robert N. Charrette";"1996";"Roc"
"0451450825";"Shadowrun: Find Your Own Truth (Secrets of Power, Vol 3)";"Robert N. Charrette";"1991";"Roc"
"0451452542";"Striper Assassin (Shadowrun, 5254)";"Nyx Smith";"1993";"New Amer Library"
"0451453026";"Shadowrun: Nosferatu (Shadowrun (Roc))";"Carl Sargent";"1994";"Roc"
"0451453727";"Just Compensation (Shadowrun)";"Robert N. Charrette";"1996";"Roc"
"0451453697";"Who Hunts the Hunter (Shadowrun, No 16)";"Nyx Smith";"1995";"Roc"
"0451453700";"House of the Sun (Shadowrun)";"Nigel D. Findley";"1995";"Roc"
"0451456998";"Technobabel (Shadowrun , No 31)";"Stephen Kenson";"1998";"Roc"
"0451459954";"Wolf and Raven (Shadowrun (Roc))";"Michael A. Stackpole";"1998";"Roc"
"0451457471";"The Forever Drug (Shadowrun, No 37)";"Lisa Smedman";"1999";"Roc"
"0451453689";"Burning Bright (Shadowrun)";"Tom Dowd";"1994";"Roc"
"0451457374";"Run Hard, Die Fast (Shadowrun)";"Mel Odom";"1999";"Roc"
"0451451899";"Into the Shadows (Shadowrun, No. 7)";"Jordan K. Weisman";"1992";"New Amer Library"
"0451451996";"Streets of Blood (Shadowrun, No 8)";"Carl Sargent";"1992";"Roc"
"0451453719";"Worlds Without End (Shadowrun)";"Caroline Spector";"1995";"Roc"
"0451452380";"Night's Pawn (Shadowrun)";"Tom Dowd";"1993";"Roc"
"0451458397";"The Burning Time (Shadowrun, 40)";"Stephen Kenson";"2001";"Roc"
"0451458184";"Tails You Lose (Shadowrun, No 39)";"Lisa Smedman";"2001";"Roc"
"0399143815";"The Secret Warriors (Men at War (Hardcover))";"W. E. B. Griffin";"1998";"Putnam Publishing Group"
"0441004911";"Isaac Asimov's Christmas";"Gardner Dozois";"1997";"Ace Books"
"0671578375";"Transvergence";"Charles Sheffield";"1999";"Baen Books"
"0440234948";"Area 51: The Sphinx (Area 51 (Paperback))";"ROBERT DOHERTY";"2000";"Dell"
"0671023187";"Term Limits";"Vince Flynn";"1999";"Pocket Star"
"0395390338";"Curious George and the Pizza";"Margret Rey";"1985";"Houghton Mifflin"
"0679746048";"Girl, Interrupted";"SUSANNA KAYSEN";"1994";"Vintage"
"0684803143";"Messiah";"Andrei Codrescu";"1999";"Simon & Schuster Books"
"0451459245";"The Firebrand: A Novel";"Marion Zimmer Bradley";"2003";"Roc"
"0743417720";"The Third Witch: A Novel";"Rebecca Reisert";"2002";"Washington Square Press"
"0446610100";"Wish You Well";"David Baldacci";"2001";"Warner Books"
"1857027795";"Diving Bell and the Butterfly";"Jean Dominiqu Bauby";"0";"Fourth Estate Ltd"
"0440216745";"Whispers";"BELVA PLAIN";"1994";"Dell"
"3453151720";"Der Poet.";"Michael Connelly";"1999";"Heyne"
"344242979X";"Dunkles Leuchten.";"David L. Lindsey";"1996";"Goldmann"
"3423241012";"Ich, meine Freundin und all diese M√?¬§nner.";"Binnie Kirshenbaum";"1997";"Dtv"
"3423202343";"Was M√?¬§nner sagen.";"Joan Smith";"1999";"Dtv"
"0312966970";"Four To Score (A Stephanie Plum Novel)";"Janet Evanovich";"1999";"St. Martin's Paperbacks"
"0671730177";"The Ultimate Maze Book";"David Anson Russo";"1991";"Simon & Schuster"
"0345352238";"Fat Tuesday (Thomas Black Mysteries)";"Earl W. Emerson";"1996";"Fawcett Books"
"0345334310";"The Ship Who Sang";"Anne McCaffrey";"1993";"Del Rey Books"
"0671876937";"Master of Many Treasures";"Mary Brown";"1995";"Baen"
"0671876015";"Pigs Don't Fly";"Mary Brown";"1994";"Baen"
"0812533666";"Isle of Woman (Geodyssey)";"Piers Anthony";"1994";"Tor Fantasy"
"0893757837";"Tale of Two Cities (Watermill Classics)";"Charles Dickens";"1987";"Troll Communications"
"1575663104";"The Wall";"Mary Rinehart";"1998";"Kensington Publishing Corporation"
"0679766758";"Push";"Sapphire";"1997";"Vintage Books USA"
"0874869226";"She Said Yes: The Unlikely Martyrdom of Cassie Bernall";"Misty Bernall";"2001";"Plough Publishing House"
"0967224918";"B-More Careful";"Shannon Holmes";"2001";"Teri Woods Publishing"
"3492215416";"Champagner und Kamillentee.";"Franziska Stalmann";"1992";"Piper"
"3499431009";"Finstere Gr√?¬ºnde.";"Colin Dexter";"1993";"Rowohlt Tb."
"3442440246";"Potsdamer Ableben.";"Pieke Biermann";"1998";"Goldmann"
"3746618959";"Sommer Ende Zwanzig.";"Claudio Paglieri";"2003";"Aufbau Tb"
"3257228449";"Der kugelrunde Roberto.";"Susanna Tamaro";"1995";"Diogenes Verlag"
"3570204758";"Windm√?¬§hne. ( Ab 10 J.).";"Sigrid Heuck";"1999";"Bertelsmann, M√?¬ºnchen"
"3548680291";"Yeats ist tot! 15 Autoren schreiben einen sehr irischen Roman.";"Marian Keyes";"2001";"Ullstein TB-Vlg"
"3442450144";"Ehrensache.";"Ian Rankin";"2002";"Goldmann"
"3442727758";"Das letzte Konzert.";"Bruce Alexander";"2001";"Btb Bei Goldmann"
"3426620685";"S√?¬ºden und der Stra√?¬?enbahntrinker.";"Friedrich Ani";"2002";"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH & Co."
"3596505429";"Alberta empf√?¬§ngt einen Liebhaber. Jubil√?¬§ums- Edition.";"Birgit Vanderbeke";"2002";"Fischer (Tb.), Frankfurt"
"0307100227";"Precious Moments: What a Wonderful World (Golden Super Shape Book)";"Golden Books";"1992";"Golden Books"
"0886251788";"You'Ve Lost Your Marbles, Lickety Spilt";"H Williams";"1988";"Durkin Hayes Publishing Ltd."
"1590383141";"The Forgotten Treasure (Book of Mormon Sleuth, Vol. 4)";"C. B. Andersen";"2004";"Deseret Book Company"
"0061066591";"Two of a Kind #19: Surprise, Surprise! (Two of a Kind, 19)";"Mary-Kate & Ashley Olsen";"2001";"HarperEntertainment"
"0671522728";"Lucky, Lucky Day (Full House Michelle)";"R.L. Stine";"1995";"Simon Spotlight"
"0816735786";"Meg and the Secret Scrapbook (Always Friends Club, No 1)";"Susan Meyers";"1995";"Troll Communications"
"0689835752";"Sheltie Saves The Day (Sheltie)";"Peter Clover";"2000";"Aladdin"
"0152017976";"Elidor";"Alan Garner";"1999";"Magic Carpet Books"
"0152017984";"The Owl Service";"Alan Garner";"1999";"Magic Carpet Books"
"3596271088";"Hexenjagd. Ein Drama in 2 Akten.";"Arthur Miller";"1984";"Fischer (Tb.), Frankfurt"
"3596270952";"Tod eines Handlungsreisenden.";"Arthur Miller";"1986";"Fischer (Tb.), Frankfurt"
"8477204055";"El caballero de la armadura oxidada";"Robert Fisher";"2000";"Obelisco"
"0394577736";"A Thousand Acres";"Jane Smiley";"1991";"Alfred A. Knopf"
"0151104506";"Bailey's Cafe";"Gloria Naylor";"1992";"Harcourt"
"0425175006";"The Body on the Beach: A Fethering Mystery (Fethering Mysteries (Hardcover))";"Simon Brett";"2000";"Prime Crime"
"0345426274";"The Analyst";"John Katzenbach";"2003";"Ballantine Books"
"0425186857";"From This Moment on";"Lynn Kurland";"2002";"Berkley Publishing Group"
"0671003518";"The BRIDE - PROMOTIONAL";"Julie Garwood";"1996";"Pocket"
"051512317X";"Rising Tides";"Nora Roberts";"2001";"Jove Books"
"0515114693";"Born in Fire";"Nora Roberts";"1994";"Jove Books"
"0060507403";"The Cheese Monkeys : A Novel in Two Semesters";"Chip Kidd";"2002";"Perennial"
"0679767398";"South of the Border, West of the Sun";"Haruki Murakami";"2000";"Vintage Books USA"
"0553212761";"Mansfield Park (Bantam Classic)";"Jane Austen";"1983";"Bantam Books"
"0425174468";"Bagombo Snuff Box: Uncollected Short Fiction";"Kurt Vonnegut";"2000";"Berkley Publishing Group"
"044012929X";"God Bless You, Mr. Rosewater or Pearls Before Swine";"Kurt Vonnegut";"1991";"Dell Publishing Company"
"0345367421";"The Water-Method Man";"John Irving";"1990";"Ballantine Books"
"0060004533";"The Neal Pollack Anthology of American Literature: The Collected Writings of Neal Pollack";"Neal Pollack";"2002";"Perennial"
"0380002930";"Watership Down";"Richard Adams";"1976";"Avon"
"080215185X";"Teach Us to Outgrow Our Madness";"Kenzaburo Oe";"1977";"Grove Press"
"888183152X";"Uno, Nessuno E Centomila (Fiction, Poetry and Drama)";"Pirandello";"0";"Feltrinelli"
"8806155873";"Un Giorno Dopo L'altro";"Carlo Lucarelli";"2000";"Einaudi"
"0718143043";"The Safe House";"Nicci French";"1998";"Michael Joseph"
"0670858722";"The Flaming Corsage";"William J. Kennedy";"1996";"Viking Books"
"0486280489";"The Scarlet Letter (Dover Thrift Editions)";"Nathaniel Hawthorne";"1994";"Dover Publications"
"3821829494";"Ensel und Krete. Ein M√?¬§rchen aus Zamonien von Hildegunst von Mythenmetz.";"Walter Moers";"2000";"Eichborn"
"0312876912";"Humans (Neanderthal Parallax)";"Robert J. Sawyer";"2003";"Tor Books"
"0684148579";"Have Spacesuit Will Travel";"Robert Heinlein";"1977";"Macmillan Pub Co"
"0553562967";"Bellwether";"Connie Willis";"1997";"Bantam Books"
"0446363170";"Cape Cod";"William Martin";"1992";"Warner Books"
"0804110379";"Dangerous Mourning (William Monk Novels (Paperback))";"Anne Perry";"1992";"Fawcett Books"
"0449003183";"Brunswick Gardens (Charlotte & Thomas Pitt Novels (Paperback))";"Anne Perry";"1999";"Fawcett Books"
"044920474X";"Rutland Place";"Anne Perry";"1984";"Fawcett Books"
"0449244970";"Paragon Walk";"Anne Perry";"1982";"Fawcett Books"
"0449210952";"Death in the Devil's Acre";"Anne Perry";"1989";"Fawcett Books"
"0312971346";"High Five (A Stephanie Plum Novel)";"Janet Evanovich";"2000";"St. Martin's Paperbacks"
"0399147101";"Potshot";"Robert B. Parker";"2001";"G. P. Putnam's Sons"
"0449146383";"I, Vampire";"Michael Romkey";"1993";"Fawcett Books"
"0446603066";"Guilt by Association";"Susan R. Sloan";"1996";"Warner Books"
"0446603821";"Privileged Conversation";"Evan Hunter";"1997";"Warner Books"
"0449149374";"The Vampire Princess";"Michael Romkey";"1996";"Fawcett Books"
"0553378260";"Rita Will: Memoir of a Literary Rabble-Rouser";"Rita Mae Brown";"1999";"Bantam"
"1556614438";"Fire by Night (Refiner's Fire, 2)";"Lynn N. Austin";"2003";"Bethany House Publishers"
"0312850581";"Pastwatch: The Redemption of Christopher Columbus";"Orson Scott Card";"1996";"St Martins Pr"
"0140280553";"Galileo's Daughter: A Historical Memoir of Science, Faith, and Love";"Dava Sobel";"2000";"Penguin Books"
"0930031067";"The Man Who Planted Trees";"Jean Giono";"1987";"Chelsea Green Publishing Company"
"0060958022";"Five Quarters of the Orange";"Joanne Harris";"2002";"Perennial"
"0385474016";"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies";"Laura Esquivel";"1994";"Anchor Books/Doubleday"
"0380804700";"Partner in Crime";"J.A. Jance";"2003";"Avon"
"0500280673";"Celtic Borders";"Aidan Meehan";"1999";"Thames & Hudson"
"048640076X";"The Warden (Dover Thrift Editions)";"Anthony Trollope";"1998";"Dover Publications"
"8432227587";"UN Reparti De Asesinos";"Sidney D. Kirkpatrick";"2003";"Planeta Pub Corp"
"0349109931";"Land Girls: Film Tie-In";"Angela Huth";"1998";"Little Brown and Company"
"8420638307";"En los reinos de taifa";"Juan Goytisolo";"1999";"Alianza"
"8420672319";"Sueno Eterno, El";"Raymond Chandler";"2001";"Alianza"
"8466301151";"Ella, maldita alma";"Manuel Rivas";"2002";"Punto de Lectura"
"8806143042";"Almost blue (Stile libero)";"Carlo Lucarelli";"1997";"Einaudi"
"156245191X";"The Secret Language of Men";"Sherrie Weaver";"1995";"Great Quotations"
"0140124497";"Uncle Dynamite";"P.G. Wodehouse";"1991";"Penguin Books"
"0553210114";"The Red Badge of Courage (Bantam Classics)";"STEPHEN CRANE";"1981";"Bantam"
"0156658992";"The Nine Tailors";"Dorothy Leigh Sayers";"1966";"Harvest Books"
"037550334X";"Undue Influence";"Anita Brookner";"2000";"Random House Inc"
"3518396005";"Ein springender Brunnen.";"Martin Walser";"2000";"Suhrkamp"
"3499123665";"Die Hexen von Eastwick. Roman.";"John Updike";"1987";"Rowohlt Tb."
"3548603203";"Artemis Fowl.";"Eoin Colfer";"2003";"Ullstein TB-Vlg"
"2253057835";"La Contrebasse";"Patrick S√?¬ºskind";"1992";"LGF"
"2020482363";"Sans nouvelles de Gurb";"Eduardo Mendoza";"2001";"Seuil"
"2264027754";"Eureka Street";"Robert McLiam-Wilson";"1999";"10x18"
"2264032189";"La L√?¬©gende d'Henry Smart";"Roddy Doyle";"2002";"Editions 10/18"
"052594527X";"Girl With a Pearl Earring";"Tracy Chevalier";"1999";"Dutton Books"
"3257204833";"Kleine Mordgeschichten f√?¬ºr Tierfreunde.";"Patricia Highsmith";"1979";"Diogenes Verlag"
"3596156963";"Anleitung zum Unschuldigsein. Das √?¬?bungsbuch f√?¬ºr ein schlechtes Gewissen.";"Florian Illies";"2002";"Fischer (Tb.), Frankfurt"
"3596122279";"Das Superwieb";"Hera Lind";"2002";"Distribooks Inc"
"3404141970";"Wolfsherz.";"Wolfgang Hohlbein";"1999";"L√?¬ºbbe"
"0029281113";"The Passionate Mind: Bringing Up an Intelligent and Creative Child";"Michael Schulman";"1991";"Simon & Schuster"
"0517559552";"The Little Boy Book: A Guide to the First Eight Years";"Shelia Moore";"1988";"Random House Value Pub"
"0345338545";"Follow the River";"James Alexander Thom";"1996";"Ballantine Books"
"0375701044";"Personal History";"Katharine Graham";"1998";"Vintage Books USA"
"0316158720";"The Archivist";"Martha Cooley";"1998";"Little Brown & Co"
"0007154615";"Unless : A Novel";"Carol Shields";"2003";"Perennial"
"0375412824";"The Dive From Clausen's Pier (Alex Awards)";"ANN PACKER";"2002";"Knopf"
"1558743669";"A Child Called \"It\": One Child's Courage to Survive";"Dave Pelzer";"1995";"Health Communications"
"084236661X";"The Strong-Willed Child: Birth Through Adolescence";"James Dobson";"1985";"Tyndale House Publishers"
"0708842100";"A Wing and a Prayer";"Graham Nown";"1991";"Time Warner Books UK"
"059045367X";"Monster Blood (Goosebumps, No 3)";"R. L. Stine";"1995";"Scholastic"
"0590453661";"Stay Out of the Basement (Goosebumps, No 2)";"R. L. Stine";"1995";"Scholastic"
"059042761X";"Wednesday Witch";"Ruth Chew";"1969";"Scholastic Paperbacks (Mm)"
"0385721617";"Juno & Juliet: A Novel";"Julian Gough";"2002";"Anchor Books/Doubleday"
"0694013226";"What to Expect When You Use the Potty (What to Expect Kids)";"Heidi Murkoff";"2000";"HarperFestival"
"0441005764";"Mossflower (Redwall, Book 2)";"Brian Jacques";"1998";"Ace Books"
"0553582135";"Final Target";"Iris Johansen";"2002";"Bantam Books"
"0671034065";"Mr. Perfect";"Linda Howard";"2000";"Atria"
"0451410777";"Sleep Tight (Onyx Book)";"Anne Frasier";"2003";"Onyx Books"
"0345418832";"The Puzzled Heart (Kate Fansler Novels (Hardcover))";"Amanda Cross";"1998";"Ballantine Books"
"0671026801";"The Hunted";"Alan Jacobson";"2001";"Atria"
"0671024051";"Mosaic";"Gayle Lynds";"1998";"Atria"
"0684869829";"The Courtship Gift: A Novel";"Julie Parsons";"2000";"Simon & Schuster"
"0399147772";"Orchid Blues (Holly Barker Novels (Hardcover))";"Stuart Woods";"2001";"G. P. Putnam's Sons"
"0440237416";"Warning Signs";"Stephen White";"2003";"Dell Publishing Company"
"0439101336";"A Christmas Carol (Scholastic Classics)";"Charles Dickens";"2000";"Scholastic"
"0399147284";"Chosen Prey";"John Sandford";"2001";"G. P. Putnam's Sons"
"0684832380";"MY GAL SUNDAY LARGE PRINT : \"Henry and Sunday\" Stories";"Mary Higgins Clark";"1996";"Simon & Schuster"
"039914210X";"The Cat Who Tailed a Thief";"Lilian Jackson Braun";"1997";"Putnam Pub Group"
"0380730359";"Gone, Baby, Gone: A Novel";"Dennis Lehane";"1999";"HarperTorch"
"0374166560";"The Great Victorian Collection";"Brian Moore";"1975";"Farrar Straus Giroux"
"0451150635";"Different Seasons M/TV";"Stephen King";"1986";"Signet Book"
"3596132762";"Ein Mann f√ºr eine Nacht: Roman (Die Frau in der Gesellschaft)";"Jil Karoly";"1996";"Fischer Taschenbuch Verlag"
"3492225926";"Das W√?¬ºten der ganzen Welt.";"Maarten 't Hart";"1999";"Piper"
"006018700X";"Design for Dying";"Timothy Leary";"1997";"HarperSanFrancisco"
"0684836483";"250 Things You Can Do to Make Your Cat Adore You";"Ingrid Newkirk";"1998";"Fireside"
"0571174450";"Touching from a Distance: Ian Curtis and Joy Division";"Deborah Curtis";"1996";"Faber & Faber"
"0312848846";"D/S: An Anti-Love Story";"Gary S. Kadet";"2000";"Forge"
"0442043244";"Philosopher Looks At Science";"John G Kemeny";"0";"Van Nostrand Reinhold/co Wiley"
"0880381736";"Dragons of Autumn Twilight (Dragonlance Chronicles, Vol 1)";"Margaret Weis";"1990";"TSR"
"8433966111";"La Musica del Azar";"Paul Auster";"1998";"Anagrama"
"0767907817";"Bookends : A Novel";"Jane Green";"2003";"Broadway"
"0385720106";"A Map of the World";"Jane Hamilton";"1999";"Anchor Books/Doubleday"
"0553208845";"Siddhartha";"Hermann Hesse";"1981";"Bantam Classics"
"0064400581";"Julie of the Wolves (Julie of the Wolves)";"Jean Craighead George";"1972";"HarperTrophy"
"0571142745";"Buddha of Suburbia";"Hanif Kureishi";"0";"Faber Faber Inc"
"0898861780";"Snowshoeing";"Gene Prater";"1988";"Mountaineers Books"
"1586480456";"Sincerely, Andy Rooney";"Andy Rooney";"2001";"PublicAffairs"
"030681188X";"How to Lose Friends & Alienate People";"Toby Young";"2002";"DaCapo Press"
"0688155022";"The Rise and Fall of the House of Barneys: A Family Tale of Chutzpah, Glory, and Greed";"Joshua Levine";"1999";"William Morrow & Company"
"088064219X";"The Private Life of Kim Philby: The Moscow Years";"Rufina Philby";"2000";"Fromm Intl"
"1904095399";"Who Was Dr.Charlotte Bach?";"Francis Wheen";"2002";"Short Books, London"
"0743204158";"The Pretender: How Martin Frankel Fooled the Financial World and Led the Feds on One of the Most Publicized Manhunts in History";"Ellen Pollock";"2002";"Free Press"
"0310225116";"Springs in the Valley";"L. B. Cowman";"1980";"Zondervan Publishing Company"
"0800758358";"The Stranger from Medina: A Novel (Bagdon, Paul. West Texas Sunrise, Bk. 3.)";"Paul Bagdon";"2003";"Revell"
"0385050755";"The Time It Never Rained";"Elmer Kelton";"1973";"Bantam Dell Pub Group"
"0842329218";"Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2)";"Tim LaHaye";"1997";"Tyndale House Publishers"
"0072430958";"Taking Sides: Clashing Views on Controversial Issues in American History, Vol. I";"Larry  Madaras";"2001";"McGraw-Hill/Dushkin"
"0684823780";"Mere Christianity";"C. S. Lewis";"1996";"Simon & Schuster"
"1576738442";"The Prayer of Jabez Devotional";"Bruce Wilkinson";"2001";"Multnomah"
"0449219283";"Snare of Serpents";"Victoria Holt";"1991";"Ivy Books"
"0553574965";"The Last Family";"John R. Miller";"1997";"Bantam Books"
"0440225698";"The Klone and I: A High-Tech Love Story";"Danielle Steel";"1999";"Dell Publishing Company"
"0440221471";"The Runaway Jury";"JOHN GRISHAM";"1997";"Dell"
"0394541545";"Texas";"James A. Michener";"1990";"Random House Inc"
"0877958920";"She Who Remembers";"Linda Lay Shuler";"1988";"Arbor House Pub Co"
"0440235758";"Going Overboard";"Christina Skye";"2001";"Island"
"0743216458";"Band of Brothers : E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest";"Stephen E. Ambrose";"2001";"Simon & Schuster"
"0061007129";"Kane & Abel";"Jeffrey Archer";"1993";"HarperTorch"
"0886773784";"Arrows of the Queen ( The Heralds of Valdemar, Book 1)";"Mercedes Lackey";"1996";"Daw Books"
"0440228204";"The Unprotected Witness (Laurel-Leaf Books)";"James Stevenson";"1999";"Laurel-Leaf Books"
"0883657635";"Roger Caras' Treasury of Great Cat Stories";"Roger Caras";"1992";"BBS Publishing Corporation"
"0425143325";"Without Remorse";"Tom Clancy";"2004";"Berkley Publishing Group"
"0425180964";"The Bear and the Dragon (Jack Ryan Novels)";"Tom Clancy";"2001";"Berkley Publishing Group"
